Gene,Importance
TRAPPC2L,0.009886471902930677
SPP1,0.008398085791165126
CARTPT,0.007345788680331761
DDB2,0.00721013643908673
BACE2,0.006852300712431116
SPON2,0.00660172084459146
MLIP,0.005886705463176051
IDS,0.005734528123653967
PLOD1,0.005109904890591775
Q8WY88,0.0049642150988279
REPS1,0.004962313330682378
MTCH2,0.004646616278702319
LOC286161,0.004382190189542261
FAM5B,0.004373644830513553
ZFP2,0.004282608645507945
FAM122C,0.004191154830238481
TMEM189,0.004186739863711363
LINC00473,0.004176038209919818
DGKI,0.004131852174349271
NFE2L1,0.004051920741058176
CIRBP,0.0040418368722615425
C9orf9,0.004000013732714874
G3BP1,0.003890226918707626
HMOX1,0.003821282554515863
XLOC_008402,0.0036968937388597513
TRAP1,0.0036496094320659775
RNF130,0.0036434620667178813
TBL1Y,0.003615502042682668
LIPA,0.003604549381094539
XLOC_l2_003803,0.0035631918448156765
REP15,0.0034043293976848796
HSD11B1L,0.0031225964835878478
MYL5,0.0031178336027857237
SERPINA3,0.0030424242424242423
FSD2,0.002981595640132226
SLC4A11,0.0028874192712902385
C17orf96,0.002880468923799232
LAMB1,0.0028523194974346697
HSPB2,0.002822055749214705
CD163,0.0027679560745328085
LOC100506476,0.0026790595491783947
LDB2,0.0026774408848207476
ERI2,0.002672551161666874
C19orf44,0.0026633972074542305
LOC100652912,0.0026574913098700906
XLOC_l2_013153,0.002657147000447034
XLOC_006548,0.0026486803559171977
PIGL,0.0026391612200435733
CCDC102A,0.002638888888888889
LIN7B,0.002637685909140565
ACSL1,0.0026299660099233105
LOC100505797,0.0026298382954227607
SLC4A10,0.002573397317583364
SAP30BP,0.00255540921088238
CASP7,0.002523806628154454
RBM14-RBM4,0.0025209562225941215
LRFN2,0.002474850720536388
GRB14,0.002470361990208894
LPPR3,0.0024590580830129633
SMEK1,0.002454650833536802
LOC100289341,0.0024517298024578763
KCNQ1,0.002448348823879384
SORCS3,0.0024469572867780193
XLOC_010952,0.0024435311106979023
SOD1,0.002428667029787898
SLC25A6,0.002407048854533147
KIAA0317,0.002396800683328198
SDIM1,0.002375614661749372
UBE2V2,0.0023685471313929815
BDH1,0.0023312761971569836
ACOT4,0.0023200127877237857
LOC728730,0.0023086167469469174
ARNTL2,0.0023023156078806842
DHRS11,0.002300120212910911
GLMN,0.0022931844888366627
SPG7,0.0022713234590419572
LOC100507204,0.002243354465803743
XLOC_010542,0.002230793469986069
XLOC_l2_011309,0.0022162975912975915
LY86,0.002210853447173663
ZNF326,0.0021762551536913368
KLHDC9,0.002163800566901342
SQRDL,0.002161968538243789
HEY1,0.002089574759535234
MMAB,0.0020801551567392737
