Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Coronavirus disease,9/232,0.7382771246107742,0.9999957837905712,0,0,0.8412011000173426,0.2552507115076313,C4B;C1QB;C4A;C5AR1;F13A1;CCL2;RPS4Y1;TLR2;C1QC
KEGG_2021_Human,Glyoxylate and dicarboxylate metabolism,1/30,0.7544744626489983,0.9999957837905712,0,0,0.7197567700268157,0.2027798444926897,MDH1
KEGG_2021_Human,Taste transduction,3/86,0.7589356239117993,0.9999957837905712,0,0,0.753957652784574,0.2079704139269344,CHRM3;GABRA1;HTR3B
KEGG_2021_Human,Measles,5/139,0.7667907397344134,0.9999957837905712,0,0,0.7779583928542108,0.206580117518453,IL2RA;IL2RG;HSPA1B;TLR2;HSPA1A
KEGG_2021_Human,Glycerolipid metabolism,2/61,0.7744129932466145,0.9999957837905712,0,0,0.7072182575081772,0.1808003225609668,DGKI;LPIN3
KEGG_2021_Human,Steroid hormone biosynthesis,2/61,0.7744129932466145,0.9999957837905712,0,0,0.7072182575081772,0.1808003225609668,DHRS11;SRD5A1
KEGG_2021_Human,Chemokine signaling pathway,7/192,0.7795394580994153,0.9999957837905712,0,0,0.7885038290771477,0.1963784335690511,GNG3;GNG2;CCL2;CXCL1;ADCY2;CCR5;PIK3R5
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,8/219,0.788311454181336,0.9999957837905712,0,0,0.7898894154818326,0.1878846925675628,EGR2;HLA-DRB5;ZFP36;HLA-DRB4;IL2RA;ADCY2;IL2RG;HLA-DQA1
KEGG_2021_Human,GnRH secretion,2/64,0.796826800048259,0.9999957837905712,0,0,0.6728919071873232,0.1528258229139373,KCNJ6;SPP1
KEGG_2021_Human,Influenza A,6/172,0.8032453176674801,0.9999957837905712,0,0,0.7531447375404703,0.1650103292962558,SOCS3;HLA-DRB5;HLA-DRB4;TNFRSF10B;CCL2;HLA-DQA1
KEGG_2021_Human,Salivary secretion,3/93,0.8037047823336282,0.9999957837905712,0,0,0.6950603732162459,0.1518868610046128,CHRM3;ADRA1D;ADCY2
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,1/35,0.8057525427095215,0.9999957837905712,0,0,0.6137491141034727,0.1325566760026469,NMNAT2
KEGG_2021_Human,DNA replication,1/36,0.8146451412817387,0.9999957837905712,0,0,0.5961821311218901,0.1222189287040206,RPA4
KEGG_2021_Human,Tyrosine metabolism,1/36,0.8146451412817387,0.9999957837905712,0,0,0.5961821311218901,0.1222189287040206,TYRP1
KEGG_2021_Human,Glycolysis / Gluconeogenesis,2/67,0.8172460029104123,0.9999957837905712,0,0,0.6417341430499325,0.1295116558418431,ENO2;PCK1
KEGG_2021_Human,Long-term potentiation,2/67,0.8172460029104123,0.9999957837905712,0,0,0.6417341430499325,0.1295116558418431,GRIN2A;CAMK4
KEGG_2021_Human,Dilated cardiomyopathy,3/96,0.8206404302477531,0.9999957837905712,0,0,0.6725328423214475,0.132939722335862,ADCY2;CACNG1;CACNG3
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,5/150,0.8208331812899333,0.9999957837905712,0,0,0.7185235764955806,0.14186197524549,ADRA1D;ADCY2;CACNG1;CACNG3;PIK3R5
KEGG_2021_Human,Epstein-Barr virus infection,7/202,0.821187395624867,0.9999957837905712,0,0,0.7476719531846323,0.1472943226107115,HLA-DRB5;HLA-DRB4;ENTPD3;RUNX3;HLA-DQA1;CD44;TLR2
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,1/37,0.8231310598482182,0.9999957837905712,0,0,0.5795910916392845,0.1128115199556456,SFN
KEGG_2021_Human,Thyroid cancer,1/37,0.8231310598482182,0.9999957837905712,0,0,0.5795910916392845,0.1128115199556456,RET
KEGG_2021_Human,Phosphatidylinositol signaling system,3/97,0.8260022433053392,0.9999957837905712,0,0,0.6653432048018311,0.1271855363545122,ITPKB;PIP5K1B;DGKI
KEGG_2021_Human,Amphetamine addiction,2/69,0.8298186091293637,0.9999957837905712,0,0,0.6225124378109452,0.1161285406955656,GRIN2A;CAMK4
KEGG_2021_Human,Renal cell carcinoma,2/69,0.8298186091293637,0.9999957837905712,0,0,0.6225124378109452,0.1161285406955656,PAK3;MET
KEGG_2021_Human,Renin secretion,2/69,0.8298186091293637,0.9999957837905712,0,0,0.6225124378109452,0.1161285406955656,ADCYAP1;AQP1
KEGG_2021_Human,Aldosterone synthesis and secretion,3/98,0.8312263486389126,0.9999957837905712,0,0,0.6583049280721012,0.1216897331514653,CAMK4;ADCY2;CAMK1G
KEGG_2021_Human,Choline metabolism in cancer,3/98,0.8312263486389126,0.9999957837905712,0,0,0.6583049280721012,0.1216897331514653,PIP5K1B;WASF1;DGKI
KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,3/98,0.8312263486389126,0.9999957837905712,0,0,0.6583049280721012,0.1216897331514653,ADCY2;IL1RAP;HTR2A
KEGG_2021_Human,Primary immunodeficiency,1/38,0.8312288771356551,0.9999957837905712,0,0,0.5638968651016844,0.1042363909448615,IL2RG
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,2/70,0.8358080355142208,0.9999957837905712,0,0,0.6133255933952528,0.1100038182378641,CXCL1;MET
KEGG_2021_Human,Prolactin signaling pathway,2/70,0.8358080355142208,0.9999957837905712,0,0,0.6133255933952528,0.1100038182378641,SOCS3;CISH
KEGG_2021_Human,Adherens junction,2/71,0.8416062154565986,0.9999957837905712,0,0,0.6044050343249427,0.1042254486060611,WASF1;MET
KEGG_2021_Human,Axon guidance,6/182,0.843592727373243,0.9999957837905712,0,0,0.7099769723668402,0.1207567537979339,EPHA5;MYL5;PAK3;MET;EPHB4;NGEF
KEGG_2021_Human,Purine metabolism,4/129,0.846381820565888,0.9999957837905712,0,0,0.6667604395604395,0.111205437647799,ENTPD3;GDA;ADCY2;HPRT1
KEGG_2021_Human,Relaxin signaling pathway,4/129,0.846381820565888,0.9999957837905712,0,0,0.6667604395604395,0.111205437647799,GNG3;GNG2;ADCY2;INSL3
KEGG_2021_Human,Melanoma,2/72,0.8472180965011673,0.9999957837905712,0,0,0.5957393483709273,0.0987718709460405,FGF9;MET
KEGG_2021_Human,Non-small cell lung cancer,2/72,0.8472180965011673,0.9999957837905712,0,0,0.5957393483709273,0.0987718709460405,RET;MET
KEGG_2021_Human,Pancreatic secretion,3/102,0.8507945434842763,0.9999957837905712,0,0,0.631573695239996,0.1020525886447227,CHRM3;RAB27B;ADCY2
KEGG_2021_Human,Inositol phosphate metabolism,2/73,0.8526485738203156,0.9999957837905712,0,0,0.5873177662466024,0.0936230358775548,ITPKB;PIP5K1B
KEGG_2021_Human,Homologous recombination,1/41,0.8533670241473021,0.9999957837905712,0,0,0.5215224534501643,0.0826954944253269,RPA4
KEGG_2021_Human,Dopaminergic synapse,4/132,0.8586959123949756,0.9999957837905712,0,0,0.6510302197802198,0.0991782181164769,GRIN2A;GNG3;KCNJ6;GNG2
KEGG_2021_Human,NF-kappa B signaling pathway,3/104,0.859816206106603,0.9999957837905712,0,0,0.6190020758387584,0.093491985271864,TNFSF14;LY96;CXCL1
KEGG_2021_Human,Tryptophan metabolism,1/42,0.8600818385198941,0.9999957837905712,0,0,0.5087756792135282,0.0766866048313127,INMT
KEGG_2021_Human,Glioma,2/75,0.8629846051384394,0.9999957837905712,0,0,0.5711667868300889,0.0841662391656028,CAMK4;CAMK1G
KEGG_2021_Human,Lipid and atherosclerosis,7/215,0.8658282986551972,0.9999957837905712,0,0,0.7004600966839114,0.1009143471827778,LY96;TNFRSF10B;CCL2;CXCL1;HSPA1B;TLR2;HSPA1A
KEGG_2021_Human,Porphyrin and chlorophyll metabolism,1/43,0.8664894755421386,0.9999957837905712,0,0,0.4966358942262556,0.0711705636801809,CP
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,2/77,0.8726522306402714,0.9999957837905712,0,0,0.5558771929824562,0.0757205704964918,CACNG1;CACNG3
KEGG_2021_Human,Bacterial invasion of epithelial cells,2/77,0.8726522306402714,0.9999957837905712,0,0,0.5558771929824562,0.0757205704964918,WASF1;MET
KEGG_2021_Human,Transcriptional misregulation in cancer,6/192,0.8769571123382216,0.9999957837905712,0,0,0.6714509023731704,0.0881596170394474,CD86;FLT1;PAX7;NUPR1;MET;AFF1
KEGG_2021_Human,Estrogen signaling pathway,4/137,0.877347581848251,0.9999957837905712,0,0,0.6263901512021812,0.0819644257560121,KCNJ6;ADCY2;HSPA1B;HSPA1A
KEGG_2021_Human,Basal transcription factors,1/45,0.8784387268849493,0.9999957837905712,0,0,0.4740117494772478,0.0614362462953028,TAF7L
KEGG_2021_Human,HIF-1 signaling pathway,3/109,0.880304949992488,0.9999957837905712,0,0,0.5896485305386989,0.0751724617482099,FLT1;ANGPT2;ENO2
KEGG_2021_Human,Wnt signaling pathway,5/166,0.8809282732057132,0.9999957837905712,0,0,0.6465708682669509,0.0819716543791221,WNT10B;WIF1;SERPINF1;RSPO2;TBL1X
KEGG_2021_Human,RNA degradation,2/79,0.8816882399932578,0.9999957837905712,0,0,0.5413818637502849,0.068169047421208,PABPC1L2A;ENO2
KEGG_2021_Human,Type II diabetes mellitus,1/46,0.8840065229449156,0.9999957837905712,0,0,0.4634538152610442,0.0571396090144041,SOCS3
KEGG_2021_Human,Ubiquitin mediated proteolysis,4/140,0.8874842730821675,0.9999957837905712,0,0,0.6124757595345831,0.073107849483971,SOCS3;UBE2N;UBE2QL1;TRIM37
KEGG_2021_Human,Nucleotide excision repair,1/47,0.8893195622132298,0.9999957837905712,0,0,0.4533549216629363,0.0531779182428888,RPA4
KEGG_2021_Human,B cell receptor signaling pathway,2/81,0.8901281911395541,0.9999957837905712,0,0,0.5276204752387297,0.0614096371778918,LILRB1;LILRB3
KEGG_2021_Human,TNF signaling pathway,3/112,0.8912794741855925,0.9999957837905712,0,0,0.5733290365461888,0.0659885881046803,SOCS3;CCL2;CXCL1
KEGG_2021_Human,Peroxisome,2/82,0.8941354010899836,0.9999957837905712,0,0,0.5209978070175438,0.0582986438272668,PEX6;FAR2
KEGG_2021_Human,Endocytosis,8/252,0.8941688915641081,0.9999957837905712,0,0,0.6818658849925814,0.0762739303646493,IL2RA;PIP5K1B;AMPH;CCR5;IL2RG;HSPA1B;SH3GL2;HSPA1A
KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,1/48,0.8943894889203173,0.9999957837905712,0,0,0.4436857682179395,0.0495215117221409,CYB5RL
KEGG_2021_Human,Protein processing in endoplasmic reticulum,5/171,0.8957810847352208,0.9999957837905712,0,0,0.6269301628958076,0.06899944530692,ATXN3L;RRBP1;CRYAB;HSPA1B;HSPA1A
KEGG_2021_Human,Spinocerebellar ataxia,4/143,0.8968818059591148,0.9999957837905712,0,0,0.5991619890900467,0.0652075131964096,ATXN3L;GRIN2A;DAB1;SLC1A6
KEGG_2021_Human,Ether lipid metabolism,1/49,0.8992274159976338,0.9999957837905712,0,0,0.4344194961664841,0.0461437395618144,PLD3
KEGG_2021_Human,Sphingolipid metabolism,1/49,0.8992274159976338,0.9999957837905712,0,0,0.4344194961664841,0.0461437395618144,B4GALT6
KEGG_2021_Human,Cysteine and methionine metabolism,1/50,0.903843948206248,0.9999957837905712,0,0,0.4255314393008024,0.0430206145381654,MDH1
KEGG_2021_Human,ErbB signaling pathway,2/85,0.9053555709032672,0.9999957837905712,0,0,0.5020872965546396,0.0499212929224267,BTC;PAK3
KEGG_2021_Human,Breast cancer,4/147,0.9083340332954948,0.9999957837905712,0,0,0.5822792592023361,0.0559821271950553,WNT10B;FGF9;KIT;HES5
KEGG_2021_Human,Cardiac muscle contraction,2/87,0.9122074042253414,0.9999957837905712,0,0,0.4902218782249742,0.0450454578698581,CACNG1;CACNG3
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",3/119,0.9134535596938534,0.9999957837905712,0,0,0.5385328740679056,0.0487494725415861,SOCS3;SST;ADCY2
KEGG_2021_Human,Neurotrophin signaling pathway,3/119,0.9134535596938534,0.9999957837905712,0,0,0.5385328740679056,0.0487494725415861,BDNF;CAMK4;ARHGDIG
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,1/53,0.9164640964762892,0.9999957837905712,0,0,0.400918358749684,0.0349730654550396,CALB1
KEGG_2021_Human,Tuberculosis,5/180,0.9185019490531604,0.9999957837905712,0,0,0.5944051548011944,0.050531126603071,HLA-DRB5;HLA-DRB4;FCGR2C;HLA-DQA1;TLR2
KEGG_2021_Human,Fanconi anemia pathway,1/54,0.9202917418071456,0.9999957837905712,0,0,0.3933331955609746,0.0326720443182415,RPA4
KEGG_2021_Human,Hypertrophic cardiomyopathy,2/90,0.9216180004129018,0.9999957837905712,0,0,0.4734350079744817,0.0386438757031547,CACNG1;CACNG3
KEGG_2021_Human,Regulation of lipolysis in adipocytes,1/55,0.923944181260091,0.9999957837905712,0,0,0.3860289643422173,0.0305362881402487,ADCY2
