GeneSymbol,logFC,P.Value,adj.P.Val
TMTC3,-0.08727298300100472,1.4161700897718487e-06,2.4487971750501284e-06
LGI3,-0.0432271886539326,1.429472951108861e-06,2.47154360419984e-06
PIK3IP1,0.05299830575016848,1.4396124646888729e-06,2.4888164863134535e-06
TTBK1,0.06457563943924388,1.4455421662901353e-06,2.498808574591163e-06
MAPK14,-0.02542407267914146,1.4465503375551073e-06,2.500291964009782e-06
LOC284100,-0.07444405054908568,1.4490430651462873e-06,2.5043407630779644e-06
HDAC2,-0.024027311022402922,1.4555561402258273e-06,2.5153362564267535e-06
HCN4,-0.03216333148213921,1.4630855056171e-06,2.528085531481061e-06
CNIH2,0.09978102997770025,1.4680426085743654e-06,2.5363879760791315e-06
TMTC1,0.10244077438457366,1.4700508537022818e-06,2.539594383795856e-06
SMYD5,0.026109974733483657,1.4760758916205955e-06,2.5497386397808233e-06
KHSRP,0.0754012711144586,1.4775957461304472e-06,2.552099452064446e-06
LOC729879,-0.022210387742175874,1.4813596844013126e-06,2.5580702363589088e-06
HUWE1,0.032143743116842,1.4812772152262596e-06,2.5580702363589088e-06
C16orf72,0.022823864857234435,1.481909845125611e-06,2.5587551195910455e-06
AMT,0.029442422366588245,1.5021573829040173e-06,2.5933371929401816e-06
TCHP,-0.048303109631391,1.502249395310344e-06,2.5933371929401816e-06
ZXDB,-0.03252039320983295,1.5047590551940343e-06,2.597400548555354e-06
GPR153,-0.03085357501528765,1.5110931097559082e-06,2.60806375773925e-06
MRPS34,-0.025644211264133965,1.5122310562496398e-06,2.6097574897829327e-06
LOC729178,-0.04358346257426342,1.5135443348718498e-06,2.61175342200523e-06
ZBED3,0.062466927573297734,1.5155254286610576e-06,2.614901195196507e-06
HTRA3,0.061184382511158826,1.5221362937895192e-06,2.626035738659131e-06
CNOT3,0.0677749605654818,1.528385622550638e-06,2.636544307886525e-06
OR10H1,-0.01961217804320937,1.5405949493873712e-06,2.6573309426137204e-06
LOC441377,-0.019472645985360592,1.5464205454698856e-06,2.6671032881091054e-06
ANTXRL,-0.07115333466260429,1.5476896227363142e-06,2.6690158204778994e-06
LOC283737,-0.02693469168192604,1.5715333560450338e-06,2.7098542886107657e-06
CDH16,0.049389531308641876,1.5743999720100077e-06,2.7145164131996657e-06
RAB3A,-0.11081659652590717,1.5779613065219216e-06,2.720375254694941e-06
MRGPRX2,-0.029887744189420584,1.6160193163586397e-06,2.7856983436226724e-06
NUP210L,0.052533347442539555,1.6190518973412403e-06,2.7906372380321087e-06
PLD4,0.03293681929739062,1.6239167189274883e-06,2.7987328787059325e-06
USP28,-0.0637177297307623,1.6243479994714276e-06,2.799186666307329e-06
LOC727944,0.018672670306626254,1.6284857283742747e-06,2.8060269028672227e-06
NR1H4,-0.03439215503116663,1.634256775621564e-06,2.8156797879402134e-06
C14orf24,-0.05176444037595479,1.640223399276469e-06,2.8256676031782363e-06
RPS20,0.035370957162615575,1.6487623157095978e-06,2.84008427010386e-06
PLA2G5,-0.08484420763560716,1.6544200346338911e-06,2.8495354477663217e-06
KRTAP4-5,-0.032553249337840554,1.6611629700794113e-06,2.8608536309842194e-06
SEMA4C,0.045991294211128,1.6628402962851262e-06,2.8634463880640015e-06
LOC4951,-0.020967814902413187,1.6726896058049223e-06,2.8798119218032056e-06
PPIL2,0.019977482211161086,1.6725660592686463e-06,2.8798119218032056e-06
ZNF778,-0.03459688483605096,1.6870960141147173e-06,2.9043148738850875e-06
NUDT9,-0.03688969570997535,1.6876822601227994e-06,2.905023983337086e-06
C21orf118,-0.034070363165011296,1.6936020922671173e-06,2.914912752069742e-06
NAG,0.02148483293869551,1.6958014893786037e-06,2.918396779820825e-06
LOC148709,-0.04018899619780358,1.7071339945935134e-06,2.937596126177851e-06
MLF1,-0.047424398958516426,1.712233361447255e-06,2.9460667769909195e-06
HRNBP3,0.03132252961257654,1.7192743922184173e-06,2.957876158571929e-06
ADAMTS19,-0.04221861969926032,1.7225368879041824e-06,2.9631831010669244e-06
EFCAB2,-0.04790870768117937,1.722954679289573e-06,2.9635958686706694e-06
