GeneSymbol,logFC,P.Value,adj.P.Val
S100A11,0.42861410089592356,3.124406256539799e-43,3.8854556611178514e-42
UBE2V2,-0.31963185213595846,3.438822365883581e-43,4.257394940942347e-42
TMEM176A,0.301859038875262,3.537319364192319e-43,4.3728404959125224e-42
FCER1G,0.30177312020600444,3.8699807953994596e-43,4.7666383319334066e-42
DIRAS2,-0.3664107727186151,8.35197836866071e-43,1.0063439445796245e-41
ZIC1,0.32539335110384215,8.613772883363029e-43,1.0363892514683141e-41
C3AR1,0.35560979965613315,1.2804176299320922e-42,1.5154033654253114e-41
KCNC2,-0.3511591034597288,1.3874823199373303e-42,1.6409514108896858e-41
CDKN1A,0.38130632210550647,4.33888037466356e-42,4.962464142992008e-41
B3GALT2,-0.342790491320863,9.071900568397103e-42,1.0159553163425358e-40
LAT2,0.3198247015321718,1.0881377852286638e-41,1.2080431747535278e-40
MS4A7,0.32709117996877546,1.4137347881410965e-41,1.5539892156717173e-40
PDLIM1,0.4914417028885967,1.5852984058785968e-41,1.7334260259554422e-40
MT1E,0.3283536796410931,1.8908420224342823e-41,2.054041164396667e-40
CD44,0.3759538438136377,1.966351556039578e-41,2.1291281565850245e-40
EMP1,0.46269221929621934,2.136994053146254e-41,2.310893504323762e-40
ANXA2P1,0.4044164870687281,2.482955005472836e-41,2.6745935495280764e-40
TUBB6,0.408617770337518,2.6458133848655667e-41,2.840839835399472e-40
LOC645652,0.3027279915802753,4.044172242787633e-41,4.2761476049373806e-40
SELL,0.3142142019170947,5.934571265803953e-41,6.188591712976037e-40
IFI30,0.40518068428349296,6.727401230202958e-41,6.997841079906497e-40
hCG_1776018,0.41794547856669406,7.509089338001349e-41,7.776971083185487e-40
PVALB,-0.3618363382266694,8.356437627272199e-41,8.606407702154755e-40
TXNIP,0.3759836207600308,1.3734383940921055e-40,1.3904603523177913e-39
SH3GL2,-0.3210806368488124,1.7413522439773856e-40,1.745962322120286e-39
SERPINA3,0.6991649582232792,2.015275507253288e-40,2.012136072670389e-39
C19orf59,0.3322525064406307,2.0462414795012616e-40,2.0406084987677454e-39
VSTM2A,-0.3476684462124553,2.703889701224111e-40,2.6756305214488473e-39
GNG2,-0.306819488409698,1.1339536008546168e-39,1.0736478866273485e-38
GUCY1B3,-0.3418187926108691,1.7805324759514287e-39,1.666898493216551e-38
NFE2,0.3032468652911855,2.105183400363454e-39,1.9598198985283017e-38
MT1G,0.3939140765906586,3.495242670282419e-39,3.20907569463285e-38
S100A9,0.6218409399049519,1.0627700214668842e-38,9.506172645047857e-38
BAG3,0.44500031474450785,3.221643816500442e-38,2.796118362404342e-37
ALOX5AP,0.30830739120178136,4.216182716093252e-38,3.6328060383132347e-37
MRGPRF,0.3069583906061845,5.550310201247204e-38,4.735809994551121e-37
VNN2,0.30837641029937535,6.070738495676416e-38,5.171921589568087e-37
CES1,0.4199464139583522,1.1790117026452924e-37,9.853084760722745e-37
LOC645405,-0.3467437969328128,1.4444919775070573e-37,1.199352980228082e-36
TYROBP,0.3275760979711732,3.7145631621939297e-37,3.0004595508870404e-36
PRDM6,0.3381067032233614,4.1793123408740075e-37,3.36107764699029e-36
CXCL1,0.5023321867934066,5.4139897594992965e-37,4.3208201797076754e-36
ENSA,-0.37086794829963016,5.530194763640895e-37,4.409338064177602e-36
ALX3,0.3237192927277769,5.618076139908954e-37,4.477265461283731e-36
S100A8,0.6923133147625807,2.0390993436517047e-36,1.5782420558575013e-35
SLC39A12,0.3254462378770434,8.617616721976629e-36,6.436753252129921e-35
MID1IP1,0.3162885460189028,9.864154340853917e-36,7.341503704153179e-35
ANGPTL4,0.4434713136034519,1.6354255433097506e-35,1.200032199635125e-34
CD93,0.32111089586657693,2.5214997320348223e-35,1.8292673719907828e-34
CARTPT,-0.4186751337040271,9.45827221667186e-35,6.6700232001108716e-34
ATP6V1A,-0.3604551013665338,9.486316516260833e-35,6.684142851034694e-34
S100A12,0.46201587370462294,1.0380401632940203e-34,7.29561420545405e-34
F13A1,0.4197153554943702,1.1094713737145425e-34,7.780837637296995e-34
ADM,0.30220125870133757,6.142457001564349e-34,4.114063644456122e-33
C1QL3,-0.3514960661504417,6.659080332406475e-34,4.4511397777465506e-33
COL8A1,0.32534906893421,2.4338147780902425e-33,1.585499978971689e-32
HIG2,0.33184517961025267,5.0788375236320483e-33,3.255144172838633e-32
CHI3L1,0.3728164833802754,7.52818355274656e-33,4.784502315902696e-32
C1QC,0.3728261174743127,1.0533578207866306e-32,6.6438889953022e-32
MLPH,0.3286000815226012,1.0632587790748225e-32,6.701264861763556e-32
FAM20A,0.3729659097571255,1.4590505815975575e-32,9.113050559123575e-32
SERPINA5,0.3561825144528457,2.4442946893127675e-32,1.5085824704706652e-31
GJA1,0.3683087269616807,2.885566453830836e-32,1.7743571729386367e-31
GADD45B,0.33917270162626056,4.858928273992034e-32,2.9379238301089716e-31
RNASE2,0.3364399977482227,1.5163068704600126e-31,8.900224617592691e-31
SLC26A2,0.3030109419454736,2.530279881587243e-31,1.463539880137793e-30
VCAM1,0.340276633024512,5.17269490157508e-31,2.9409003015983328e-30
SLC14A1,0.4308359202252003,8.615002656122222e-31,4.8320566900579166e-30
PF4,0.3231133224936491,9.003110668544977e-31,5.0429524766599496e-30
HLA-DRA,0.33063245348588144,1.0399953834039302e-30,5.79798453338181e-30
SPTLC3,0.4235653220105527,2.0042722389393857e-30,1.1030116443093106e-29
MT1H,0.32144626653969594,4.2429729164786874e-30,2.2889252405374182e-29
FLJ45910,0.4476946801064229,4.703888095294997e-30,2.5334709508725217e-29
FMOD,0.36228183325504004,7.345067032792015e-30,3.9054944809970047e-29
IL18R1,0.3582840281683789,5.0170158227358356e-29,2.5661004195847136e-28
PPBP,0.3150379919548983,2.032982446273026e-28,1.0076626854459759e-27
SLC6A20,0.4278605219649476,2.5845366502224015e-28,1.2734689160055027e-27
FPR1,0.3193182146760345,3.8290305599246037e-28,1.8695272560967945e-27
