Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.3392417204233094,0.6247573926898936,0,0,2.457217261904762,2.6563560119679144,ITPKB
KEGG_2021_Human,p53 signaling pathway,1/73,0.3392417204233094,0.6247573926898936,0,0,2.457217261904762,2.6563560119679144,TNFRSF10B
KEGG_2021_Human,Renin secretion,1/69,0.3240409245099103,0.6247573926898936,0,0,2.602284663865546,2.93247675296454,ADCYAP1
KEGG_2021_Human,Renal cell carcinoma,1/69,0.3240409245099103,0.6247573926898936,0,0,2.602284663865546,2.93247675296454,PAK3
KEGG_2021_Human,Amphetamine addiction,1/69,0.3240409245099103,0.6247573926898936,0,0,2.602284663865546,2.93247675296454,CAMK4
KEGG_2021_Human,Proteoglycans in cancer,2/205,0.3226798733691984,0.6247573926898936,0,0,1.7471264367816093,1.9761651931598208,CD44;TLR2
KEGG_2021_Human,Epstein-Barr virus infection,2/202,0.3164554178729065,0.6247573926898936,0,0,1.7736036036036036,2.040660254278166,CD44;TLR2
KEGG_2021_Human,Long-term potentiation,1/67,0.3163110625705502,0.6247573926898936,0,0,2.6814123376623376,3.086383829115508,CAMK4
KEGG_2021_Human,Chemokine signaling pathway,2/192,0.2956261573463863,0.6247573926898936,0,0,1.8678994784257943,2.27633364024021,GNG2;CXCL1
KEGG_2021_Human,Long-term depression,1/60,0.288560187905065,0.6247573926898936,0,0,3.000605326876513,3.729307105087004,CRH
KEGG_2021_Human,Pathways of neurodegeneration,4/475,0.2812592667081083,0.6247573926898936,0,0,1.512768071057091,1.918913588627186,UCHL1;TUBB2A;BDNF;NEFL
KEGG_2021_Human,NOD-like receptor signaling pathway,2/181,0.272620988366539,0.6247573926898936,0,0,1.983793849715637,2.578282846597186,CXCL1;GBP2
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.4461115953405777,0.6288561042752722,0,0,1.7149791955617195,1.384307444749809,CXCL1
KEGG_2021_Human,Toll-like receptor signaling pathway,1/104,0.4461115953405777,0.6288561042752722,0,0,1.7149791955617195,1.384307444749809,TLR2
KEGG_2021_Human,T cell receptor signaling pathway,1/104,0.4461115953405777,0.6288561042752722,0,0,1.7149791955617195,1.384307444749809,PAK3
KEGG_2021_Human,Hematopoietic cell lineage,1/99,0.4301133480725904,0.6288561042752722,0,0,1.802933673469388,1.5211468681411058,CD44
KEGG_2021_Human,Glycerophospholipid metabolism,1/98,0.4268591632115185,0.6288561042752722,0,0,1.8216126656848304,1.550740954790092,PLA1A
KEGG_2021_Human,Aldosterone synthesis and secretion,1/98,0.4268591632115185,0.6288561042752722,0,0,1.8216126656848304,1.550740954790092,CAMK4
KEGG_2021_Human,Phosphatidylinositol signaling system,1/97,0.4235865615927289,0.6288561042752722,0,0,1.8406808035714288,1.5811400061709446,ITPKB
KEGG_2021_Human,Endocytosis,2/252,0.4176771995520806,0.6288561042752722,0,0,1.4152792792792792,1.2356044722278068,SH3GL2;HSPA1A
KEGG_2021_Human,Calcium signaling pathway,2/240,0.3939750588009449,0.6288561042752722,0,0,1.487546369899311,1.3856013574698196,ITPKB;CAMK4
KEGG_2021_Human,Th1 and Th2 cell differentiation,1/92,0.4069436656655389,0.6288561042752722,0,0,1.9423076923076923,1.7462910036249044,STAT4
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/89,0.3967302263993966,0.6288561042752722,0,0,2.0088271103896105,1.857158172128544,TLR2
KEGG_2021_Human,Gap junction,1/88,0.3932871556549472,0.6288561042752722,0,0,2.0320197044334973,1.8963117926523263,TUBB2A
KEGG_2021_Human,ECM-receptor interaction,1/88,0.3932871556549472,0.6288561042752722,0,0,2.0320197044334973,1.8963117926523263,CD44
KEGG_2021_Human,Taste transduction,1/86,0.3863424770334258,0.6288561042752722,0,0,2.080042016806723,1.9781845571969965,GABRA1
KEGG_2021_Human,ErbB signaling pathway,1/85,0.3828406502370928,0.6288561042752722,0,0,2.1049107142857144,2.0210014654173967,PAK3
KEGG_2021_Human,Parkinson disease,2/249,0.411793673390706,0.6288561042752722,0,0,1.4326877484772222,1.2711276311070676,UCHL1;TUBB2A
KEGG_2021_Human,Serotonergic synapse,1/113,0.4737946736426861,0.6339068248259595,0,0,1.5764508928571428,1.1775792255697195,GNG2
KEGG_2021_Human,TNF signaling pathway,1/112,0.4707877926730359,0.6339068248259595,0,0,1.5907335907335909,1.1983757031953468,CXCL1
KEGG_2021_Human,Glutamatergic synapse,1/114,0.4767846203819182,0.6339068248259595,0,0,1.5624209860935525,1.1572702558777814,GNG2
KEGG_2021_Human,Drug metabolism,1/108,0.4585890176972445,0.6339068248259595,0,0,1.6505340453938584,1.2867577551410967,HPRT1
KEGG_2021_Human,HIF-1 signaling pathway,1/109,0.4616645913733233,0.6339068248259595,0,0,1.6351686507936507,1.26384906636919,ANGPT2
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",1/119,0.4914836307550642,0.646107694363399,0,0,1.495838377723971,1.0625338557406638,SST
KEGG_2021_Human,Osteoclast differentiation,1/127,0.5141552165788452,0.6500435966242845,0,0,1.400297619047619,0.9315200990097762,CAMK4
KEGG_2021_Human,Huntington disease,2/306,0.5180252089664896,0.6500435966242845,0,0,1.1606804172593643,0.763415923237561,TUBB2A;BDNF
